,symbols
0,20MICRONS
1,21STCENMGM
2,3IINFOTECH
3,3PLAND
4,63MOONS
5,A2ZINFRA
6,AAKASH
7,AARON
8,AARVEEDEN
9,AARVI
10,ABAN
11,ABCAPITAL
12,ABFRL
13,ABMINTLTD
14,ACCURACY
15,ACE
16,ADANIPOWER
17,ADHUNIKIND
18,ADL
19,ADROITINFO
20,ADSL
21,ADVANIHOTR
22,AGRITECH
23,AGROPHOS
24,AHLADA
25,AHLEAST
26,AIRAN
27,AJMERA
28,AJOONI
29,AKG
30,AKSHOPTFBR
31,ALANKIT
32,ALEMBICLTD
33,ALKALI
34,ALLCARGO
35,ALOKINDS
36,ALPA
37,ALPSINDUS
38,AMBICAAGAR
39,AMDIND
40,AMJLAND
41,ANANTRAJ
42,ANDHRACEMT
43,ANIKINDS
44,ANKITMETAL
45,ANSALAPI
46,ANSALHSG
47,APOLLO
48,ARCHIDPLY
49,ARCHIES
50,ARENTERP
51,ARIES
52,ARIHANT
53,ARIHANTSUP
54,AROGRANITE
55,ARROWGREEN
56,ARSHIYA
57,ARSSINFRA
58,ARVEE
59,ARVIND
60,ARVINDFASN
61,ARVSMART
62,ASAL
63,ASHAPURMIN
64,ASHIANA
65,ASHIMASYN
66,ASHOKA
67,ASHOKLEY
68,ASIANHOTNR
69,ASIANTILES
70,ASPINWALL
71,ASTERDM
72,ASTRAMICRO
73,ASTRON
74,ATLANTA
75,ATULAUTO
76,AURIONPRO
77,AUSOMENT
78,AUTOIND
79,AVTNPL
80,AXISCADES
81,AYMSYNTEX
82,BAFNAPH
83,BAGFILMS
84,BAJAJHIND
85,BALAJITELE
86,BALKRISHNA
87,BALLARPUR
88,BALMLAWRIE
89,BALPHARMA
90,BANARBEADS
91,BANCOINDIA
92,BANG
93,BANKA
94,BANKBARODA
95,BANKINDIA
96,BANSWRAS
97,BARTRONICS
98,BASML
99,BCG
100,BCLIND
101,BCP
102,BEARDSELL
103,BEDMUTHA
104,BEL
105,BEPL
106,BGRENERGY
107,BHAGERIA
108,BHAGYANGR
109,BHAGYAPROP
110,BHANDARI
111,BHARATGEAR
112,BHARATWIRE
113,BHEL
114,BIGBLOC
115,BINDALAGRO
116,BIOFILCHEM
117,BIRLACABLE
118,BIRLAMONEY
119,BIRLATYRE
120,BLBLIMITED
121,BLISSGVS
122,BLKASHYAP
123,BLS
124,BODALCHEM
125,BOMDYEING
126,BPL
127,BRFL
128,BRNL
129,BROOKS
130,BSHSL
131,BSL
132,BURGERKING
133,BURNPUR
134,BVCL
135,BYKE
136,CALSOFT
137,CAMLINFINE
138,CANBK
139,CANDC
140,CAPACITE
141,CAPTRUST
142,CAREERP
143,CASTEXTECH
144,CASTROLIND
145,CCCL
146,CCHHL
147,CEBBCO
148,CELEBRITY
149,CENTEXT
150,CENTRALBK
151,CENTRUM
152,CEREBRAINT
153,CGPOWER
154,CHALET
155,CHEMFAB
156,CHENNPETRO
157,CINELINE
158,CINEVISTA
159,CLEDUCATE
160,CLSEL
161,CMICABLES
162,COALINDIA
163,COFFEEDAY
164,COMPINFO
165,COMPUSOFT
166,CONFIPET
167,CONSOFINVT
168,CORALFINAC
169,CORDSCABLE
170,COUNCODOS
171,COX&KINGS
172,CREATIVE
173,CREST
174,CTE
175,CUB
176,CUBEXTUB
177,CYBERMEDIA
178,CYBERTECH
179,DAAWAT
180,DALALSTCOM
181,DAMODARIND
182,DANGEE
183,DATAMATICS
184,DBCORP
185,DBREALTY
186,DBSTOCKBRO
187,DCAL
188,DCBBANK
189,DCM
190,DCMFINSERV
191,DCMNVL
192,DCW
193,DEEPENR
194,DEEPINDS
195,DELTACORP
196,DELTAMAGNT
197,DEN
198,DGCONTENT
199,DHANBANK
200,DHANI
201,DHARSUGAR
202,DHFL
203,DIGISPICE
204,DISHTV
205,DLINKINDIA
206,DNAMEDIA
207,DOLAT
208,DONEAR
209,DPABHUSHAN
210,DPSCLTD
211,DPWIRES
212,DSSL
213,DUCON
214,DVL
215,DWARKESH
216,EASTSILK
217,EASUNREYRL
218,EDELWEISS
219,EDUCOMP
220,EIHOTEL
221,EKC
222,ELECON
223,ELECTCAST
224,ELECTHERM
225,ELGIRUBCO
226,EMAMIPAP
227,EMAMIREAL
228,EMCO
229,EMKAY
230,EMMBI
231,ENERGYDEV
232,ENGINERSIN
233,ENIL
234,EQUITAS
235,EQUITASBNK
236,EROSMEDIA
237,ESSARSHPNG
238,ESTER
239,EXCEL
240,EXIDEIND
241,FACT
242,FCL
243,FCONSUMER
244,FCSSOFT
245,FEDERALBNK
246,FEL
247,FELDVR
248,FILATEX
249,FINPIPE
250,FLEXITUFF
251,FLFL
252,FMNL
253,FRETAIL
254,FSC
255,FSL
256,GABRIEL
257,GAEL
258,GAIL
259,GAL
260,GALLANTT
261,GALLISPAT
262,GAMMNINFRA
263,GANESHHOUC
264,GANGESSECU
265,GATI
266,GAYAHWS
267,GAYAPROJ
268,GBGLOBAL
269,GEECEE
270,GEEKAYWIRE
271,GENCON
272,GENESYS
273,GENUSPAPER
274,GENUSPOWER
275,GEOJITFSL
276,GET&D
277,GFLLIMITED
278,GICHSGFIN
279,GICRE
280,GILLANDERS
281,GINNIFILA
282,GIPCL
283,GISOLUTION
284,GLOBAL
285,GLOBALVECT
286,GLOBE
287,GMDCLTD
288,GMRINFRA
289,GODHA
290,GOENKA
291,GOKEX
292,GOKUL
293,GOKULAGRO
294,GOLDENTOBC
295,GOLDTECH
296,GOODLUCK
297,GPPL
298,GPTINFRA
299,GRAVITA
300,GREAVESCOT
301,GREENPOWER
302,GRSE
303,GSCLCEMENT
304,GSFC
305,GSS
306,GTL
307,GTLINFRA
308,GTPL
309,GUFICBIO
310,GUJRAFFIA
311,GULFPETRO
312,GULPOLY
313,HARRMALAYA
314,HATHWAY
315,HAVISHA
316,HBLPOWER
317,HBSL
318,HCC
319,HCG
320,HCL-INSYS
321,HDIL
322,HEMIPROP
323,HERCULES
324,HEXATRADEX
325,HFCL
326,HILTON
327,HIMATSEIDE
328,HINDCOPPER
329,HINDMOTORS
330,HINDNATGLS
331,HINDOILEXP
332,HIRECT
333,HISARMETAL
334,HITECHCORP
335,HITECHGEAR
336,HLVLTD
337,HMT
338,HMVL
339,HOVS
340,HPL
341,HSCL
342,HTMEDIA
343,HUBTOWN
344,HUDCO
345,IBREALEST
346,IBULHSGFIN
347,ICEMAKE
348,ICIL
349,IDBI
350,IDEA
351,IDFC
352,IDFCFIRSTB
353,IFCI
354,IIFLSEC
355,IITL
356,IL&FSENGG
357,IL&FSTRANS
358,IMAGICAA
359,IMPEXFERRO
360,INDBANK
361,INDHOTEL
362,INDIACEM
363,INDIANB
364,INDIANCARD
365,INDIANHUME
366,INDLMETER
367,INDORAMA
368,INDOSOLAR
369,INDOTECH
370,INDOTHAI
371,INDOWIND
372,INDRAMEDCO
373,INDSWFTLAB
374,INDTERRAIN
375,INFIBEAM
376,INFOMEDIA
377,INOXWIND
378,INSPIRISYS
379,INTENTECH
380,INVENTURE
381,IOB
382,IOC
383,IRB
384,IRCON
385,IRFC
386,IRISDOREME
387,ISFT
388,ISMTLTD
389,ITDCEM
390,ITI
391,IVC
392,IVP
393,IZMO
394,J&KBANK
395,JAGRAN
396,JAGSNPHARM
397,JAIBALAJI
398,JAICORPLTD
399,JAINSTUDIO
400,JAMNAAUTO
401,JAYAGROGN
402,JAYNECOIND
403,JAYSREETEA
404,JBFIND
405,JETAIRWAYS
406,JHS
407,JIKIND
408,JINDALPHOT
409,JINDALSAW
410,JINDRILL
411,JINDWORLD
412,JISLDVREQS
413,JISLJALEQS
414,JITFINFRA
415,JIYAECO
416,JKIL
417,JKPAPER
418,JKTYRE
419,JMA
420,JMCPROJECT
421,JMFINANCIL
422,JMTAUTOLTD
423,JOCIL
424,JPASSOCIAT
425,JPINFRATEC
426,JPPOWER
427,JSL
428,JSLHISAR
429,JSWENERGY
430,JSWISPL
431,JTEKTINDIA
432,JUMPNET
433,JYOTHYLAB
434,JYOTISTRUC
435,KABRAEXTRU
436,KALYANKJIL
437,KAMATHOTEL
438,KAMDHENU
439,KANANIIND
440,KANORICHEM
441,KANPRPLA
442,KAPSTON
443,KARDA
444,KARMAENG
445,KARURVYSYA
446,KCP
447,KCPSUGIND
448,KECL
449,KEERTI
450,KELLTONTEC
451,KERNEX
452,KESORAMIND
453,KEYFINSERV
454,KHADIM
455,KHAICHEM
456,KHANDSE
457,KILITCH
458,KIOCL
459,KITEX
460,KMSUGAR
461,KOKUYOCMLN
462,KOPRAN
463,KOTARISUG
464,KOTHARIPET
465,KOTHARIPRO
466,KREBSBIO
467,KRIDHANINF
468,KRISHANA
469,KTKBANK
470,KUANTUM
471,L&TFH
472,LAKPRE
473,LAMBODHARA
474,LASA
475,LCCINFOTEC
476,LEMONTREE
477,LFIC
478,LGBFORGE
479,LIBAS
480,LIBERTSHOE
481,LINCPEN
482,LOKESHMACH
483,LOTUSEYE
484,LOVABLE
485,LPDC
486,LSIL
487,LUMAXTECH
488,LYKALABS
489,LYPSAGEMS
490,M&MFIN
491,MAANALU
492,MACPOWER
493,MADHAV
494,MADHUCON
495,MADRASFERT
496,MAGADSUGAR
497,MAGMA
498,MAGNUM
499,MAHABANK
500,MAHAPEXLTD
501,MAHASTEEL
502,MAHEPC
503,MAHESHWARI
504,MAHINDCIE
505,MAJESCO
506,MALUPAPER
507,MANAKALUCO
508,MANAKCOAT
509,MANAKSIA
510,MANAKSTEEL
511,MANALIPETC
512,MANAPPURAM
513,MANGALAM
514,MANGCHEFER
515,MANGTIMBER
516,MANINDS
517,MANINFRA
518,MANUGRAPH
519,MARALOVER
520,MARATHON
521,MARINE
522,MARKSANS
523,MASKINVEST
524,MAWANASUG
525,MAXIND
526,MAXVIL
527,MBAPL
528,MBECL
529,MBLINFRA
530,MCDHOLDING
531,MCL
532,MCLEODRUSS
533,MEGASOFT
534,MELSTAR
535,MENONBE
536,MEP
537,MERCATOR
538,METALFORGE
539,MGEL
540,MIC
541,MINDACORP
542,MINDTECK
543,MIRCELECTR
544,MIRZAINT
545,MITTAL
546,MMP
547,MMTC
548,MODIRUBBER
549,MODISNME
550,MOHITIND
551,MOHOTAIND
552,MOIL
553,MOLDTECH
554,MORARJEE
555,MOREPENLAB
556,MOTOGENFIN
557,MRO-TEK
558,MRPL
559,MSPL
560,MTEDUCARE
561,MTNL
562,MUKANDLTD
563,MUKTAARTS
564,MUNJALAU
565,MUNJALSHOW
566,MURUDCERA
567,NACLIND
568,NAGAFERT
569,NAGREEKEXP
570,NAHARCAP
571,NAHARINDUS
572,NAHARPOLY
573,NAHARSPING
574,NATIONALUM
575,NAVKARCORP
576,NAVNETEDUL
577,NBCC
578,NBVENTURES
579,NCC
580,NCLIND
581,NDL
582,NDRAUTO
583,NDTV
584,NECCLTD
585,NECLIFE
586,NELCAST
587,NETWORK18
588,NEXTMEDIA
589,NFL
590,NHPC
591,NIACL
592,NIBL
593,NIITLTD
594,NILAINFRA
595,NILASPACES
596,NIRAJ
597,NITCO
598,NITINFIRE
599,NITINSPIN
600,NITIRAJ
601,NKIND
602,NLCINDIA
603,NMDC
604,NOIDATOLL
605,NRBBEARING
606,NTPC
607,OIL
608,OLECTRA
609,OMAXAUTO
610,OMAXE
611,OMINFRAL
612,ONELIFECAP
613,ONEPOINT
614,ONGC
615,ONMOBILE
616,ONWARDTEC
617,OPTIEMUS
618,OPTOCIRCUI
619,ORBTEXP
620,ORICONENT
621,ORIENTABRA
622,ORIENTALTL
623,ORIENTCEM
624,ORIENTHOT
625,ORIENTLTD
626,ORIENTPPR
627,ORTEL
628,ORTINLAB
629,OSWALAGRO
630,PAEL
631,PALASHSECU
632,PALREDTEC
633,PANACHE
634,PANAMAPET
635,PARACABLES
636,PARAGMILK
637,PARSVNATH
638,PATELENG
639,PATINTLOG
640,PATSPINLTD
641,PCJEWELLER
642,PDMJEPAPER
643,PEARLPOLY
644,PENIND
645,PENINLAND
646,PFC
647,PFOCUS
648,PFS
649,PGIL
650,PILITA
651,PIONDIST
652,PIONEEREMB
653,PITTIENG
654,PNB
655,PNBGILTS
656,PNC
657,PODDARHOUS
658,PONNIERODE
659,PPL
660,PRADIP
661,PRAENG
662,PRAKASH
663,PRAKASHSTL
664,PRAXIS
665,PRECAM
666,PRECOT
667,PREMEXPLN
668,PREMIER
669,PREMIERPOL
670,PRESSMN
671,PRICOLLTD
672,PRIMESECU
673,PROZONINTU
674,PRSMJOHNSN
675,PSB
676,PTC
677,PTL
678,PUNJLLOYD
679,PURVA
680,RADAAN
681,RADIOCITY
682,RAILTEL
683,RAIN
684,RAJMET
685,RAJRAYON
686,RAJSREESUG
687,RAJTV
688,RAMANEWS
689,RAMASTEEL
690,RAMKY
691,RANASUG
692,RBLBANK
693,RCF
694,RCOM
695,RECLTD
696,REDINGTON
697,REFEX
698,RELCAPITAL
699,RELIGARE
700,RELINFRA
701,REMSONSIND
702,RENUKA
703,RESPONIND
704,RHFL
705,RICOAUTO
706,RKDL
707,RKEC
708,RMCL
709,RNAVAL
710,ROHITFERRO
711,ROHLTD
712,ROLLT
713,ROLTA
714,ROML
715,ROSSELLIND
716,RPOWER
717,RPPINFRA
718,RSSOFTWARE
719,RSYSTEMS
720,RTNINDIA
721,RTNPOWER
722,RUBYMILLS
723,RUCHINFRA
724,RUCHIRA
725,RVHL
726,RVNL
727,S&SPOWER
728,SABEVENTS
729,SABTN
730,SADBHAV
731,SADBHIN
732,SAGARDEEP
733,SAIL
734,SAKAR
735,SAKHTISUG
736,SAKUMA
737,SALONA
738,SALSTEEL
739,SALZERELEC
740,SAMBHAAV
741,SANCO
742,SANGAMIND
743,SANGHIIND
744,SANGHVIMOV
745,SANGINITA
746,SANWARIA
747,SARLAPOLY
748,SASTASUNDR
749,SATIA
750,SATIN
751,SCAPDVR
752,SCHAND
753,SCHNEIDER
754,SCI
755,SDBL
756,SECURKLOUD
757,SELAN
758,SEPOWER
759,SESHAPAPER
760,SETCO
761,SETUINFRA
762,SEYAIND
763,SFHL-RE
764,SGL
765,SHALBY
766,SHALPAINTS
767,SHANTIGEAR
768,SHEMAROO
769,SHIVAMAUTO
770,SHIVAMILLS
771,SHIVATEX
772,SHK
773,SHRADHA
774,SHREDIGCEM
775,SHREEPUSHK
776,SHREERAMA
777,SHRENIK
778,SHREYANIND
779,SHREYAS
780,SHRIRAMEPC
781,SHYAMCENT
782,SHYAMTEL
783,SICAGEN
784,SICAL
785,SIGIND
786,SIL
787,SILGO
788,SILLYMONKS
789,SIMBHALS
790,SIMPLEXINF
791,SINTERCOM
792,SINTEX
793,SITINET
794,SJVN
795,SKIL
796,SKIPPER
797,SKMEGGPROD
798,SMARTLINK
799,SMCGLOBAL
800,SMPL
801,SMSPHARMA
802,SNOWMAN
803,SOMATEX
804,SOMICONVEY
805,SORILINFRA
806,SOUTHBANK
807,SOUTHWEST
808,SPAL
809,SPECIALITY
810,SPENCERS
811,SPENTEX
812,SPIC
813,SPICEJET
814,SPLIL
815,SPMLINFRA
816,SPTL
817,SREEL
818,SREINFRA
819,SRIPIPES
820,SRPL
821,STARCEMENT
822,STARPAPER
823,STCINDIA
824,STEELCITY
825,STEELXIND
826,STEL
827,STERTOOLS
828,SUBCAPCITY
829,SUBEXLTD
830,SUMEETINDS
831,SUMIT
832,SUNDARAM
833,SUNDARMHLD
834,SUNFLAG
835,SUPERHOUSE
836,SUPERSPIN
837,SUPREMEENG
838,SURANASOL
839,SURANAT&P
840,SURYALAXMI
841,SUTLEJTEX
842,SUVEN
843,SUVIDHAA
844,SUZLON
845,SWANENERGY
846,SYNCOM
847,TAINWALCHM
848,TAJGVK
849,TAKE
850,TANTIACONS
851,TARAPUR
852,TARC
853,TARMAT
854,TATACOFFEE
855,TATAMTRDVR
856,TATAPOWER
857,TATASTLBSL
858,TBZ
859,TECHIN
860,TEJASNET
861,TEMBO
862,TERASOFT
863,TEXINFRA
864,TEXMOPIPES
865,TEXRAIL
866,TFCILTD
867,TFL
868,TGBHOTELS
869,THEINVEST
870,THIRUSUGAR
871,THOMASCOOK
872,THOMASCOTT
873,TI
874,TIJARIA
875,TIMESGTY
876,TIMETECHNO
877,TIRUMALCHM
878,TIRUPATIFL
879,TMRVL
880,TNPETRO
881,TNPL
882,TNTELE
883,TOKYOPLAST
884,TOTAL
885,TOUCHWOOD
886,TREEHOUSE
887,TREJHARA
888,TRF
889,TRIDENT
890,TRIGYN
891,TRIL
892,TRITURBINE
893,TRIVENI
894,TTL
895,TTML
896,TV18BRDCST
897,TVSELECT
898,TVVISION
899,TWL
900,UCALFUEL
901,UCOBANK
902,UFO
903,UGARSUGAR
904,UJAAS
905,UJJIVANSFB
906,UMANGDAIRY
907,UMESLTD
908,UNIENTER
909,UNIONBANK
910,UNITECH
911,UNIVASTU
912,UNIVCABLES
913,UNIVPHOTO
914,URJA
915,USHAMART
916,UTTAMSTL
917,UTTAMSUGAR
918,V2RETAIL
919,VAISHALI
920,VAKRANGEE
921,VARDHACRLC
922,VARDMNPOLY
923,VASCONEQ
924,VASWANI
925,VETO
926,VICEROY
927,VIDEOIND
928,VIJIFIN
929,VIKASECO
930,VIKASLIFE
931,VIKASPROP
932,VIKASWSP
933,VINYLINDIA
934,VIPCLOTHNG
935,VIPULLTD
936,VISASTEEL
937,VISHAL
938,VISHWARAJ
939,VIVIDHA
940,VIVIMEDLAB
941,VLSFINANCE
942,WALCHANNAG
943,WANBURY
944,WATERBASE
945,WEALTH
946,WEBELSOLAR
947,WEIZMANIND
948,WELCORP
949,WELENT
950,WELSPUNIND
951,WILLAMAGOR
952,WINDMACHIN
953,WIPL
954,WONDERLA
955,WORTH
956,WSI
957,WSTCSTPAPR
958,XCHANGING
959,XPROINDIA
960,YAARII
961,YESBANK
962,ZEEL
963,ZEELEARN
964,ZEEMEDIA
965,ZENITHEXPO
966,ZENTEC
967,ZODIACLOTH
968,ZODJRDMKJ
969,ZOTA
970,ZUARI
971,ZUARIGLOB
